Episode No.,Run0steps,Run1steps,Run2steps,Run3steps,Run4steps,Run5steps,Run6steps,Run7steps,Run8steps,Run9steps,
552,8,8,10,12,8,8,8,10,8,10,
553,8,8,10,8,8,8,10,8,8,8,
554,8,8,8,8,10,10,10,10,8,8,
555,8,10,8,8,8,8,10,10,8,10,
556,8,8,8,8,8,8,8,8,8,10,
557,10,12,8,10,8,8,12,10,10,10,
558,14,8,8,10,8,8,8,8,10,8,
559,8,10,8,8,8,10,8,10,8,10,
560,8,8,8,8,8,12,8,8,8,10,
561,10,8,8,8,8,8,8,8,8,8,
562,8,8,8,10,8,10,10,8,10,8,
563,12,8,8,8,8,8,8,8,10,8,
564,10,8,8,10,10,10,8,8,10,8,
565,8,8,8,8,8,10,10,28,8,10,
566,12,10,10,8,8,8,12,8,8,8,
567,8,10,8,10,10,8,8,10,8,12,
568,8,10,8,10,8,10,10,12,10,10,
569,12,12,8,8,8,10,8,10,8,8,
570,8,8,10,8,8,8,10,8,8,10,
571,8,12,8,8,12,10,8,12,8,8,
572,8,8,8,8,8,10,8,8,12,8,
573,10,8,8,10,10,12,8,10,8,8,
574,8,12,10,8,10,8,10,8,10,12,
575,12,8,8,8,10,8,8,8,10,8,
576,10,8,8,10,8,10,8,12,10,8,
577,8,12,8,8,8,12,10,8,10,12,
578,8,8,8,10,10,12,8,8,10,8,
579,8,8,8,10,10,10,8,10,10,10,
580,10,8,8,8,10,10,8,12,8,8,
581,8,12,8,8,8,8,8,10,8,8,
582,8,8,8,10,8,8,8,10,10,8,
583,8,10,8,10,8,8,10,10,8,8,
584,8,8,8,8,8,8,8,8,12,8,
585,8,10,8,8,8,12,8,8,8,8,
586,8,10,10,8,8,8,8,8,8,10,
587,8,8,8,8,8,8,8,14,8,12,
588,10,8,8,8,8,8,12,8,8,8,
589,8,10,8,12,8,10,8,12,8,10,
590,12,8,8,8,8,8,8,10,12,8,
